# See API at http://earthquake.usgs.gov/fdsnws/event/1/
# Table below results from this query:  http://earthquake.usgs.gov/fdsnws/event/1/query?format=text&starttime=2016-01-01&endtime=2016-01-02
#EventID|Time|Latitude|Longitude|Depth/km|Author|Catalog|Contributor|ContributorID|MagType|Magnitude|MagAuthor|EventLocationName
ci37509432|2016-01-01 18:08:42.000|33.5038333|-116.5426667|12.19|ci|ci|ci|ci37509432|ml|1.03|ci|13km ESE of Anza, California
nc72572360|2016-01-01 17:57:33.730|38.0653333|-122.2413333|8.04|nc|nc|nc|nc72572360|md|0.94|nc|2km WNW of Crockett, California
nc72572355|2016-01-01 17:54:09.720|38.8238335|-122.8461685|1.86|nc|nc|nc|nc72572355|md|0.68|nc|9km WNW of The Geysers, California
us10004ddd|2016-01-01 17:30:30.950|-17.477|-178.8778|548.9|us|us|us|us10004ddd|mb|4.8|us|219km ESE of Lambasa, Fiji
mb80118474|2016-01-01 17:24:32.220|46.0118333|-111.4131667|5|mb|mb|mb|mb80118474|md|0.7|mb|17km NE of Three Forks, Montana
uw61115536|2016-01-01 17:24:25.500|46.595|-119.8446667|6.663|uw|uw|uw|uw61115536|md|-0.45|uw|10km SSE of Desert Aire, Washington
us10004ar8|2016-01-01 17:15:42.870|0.4792|-78.7732|27.1|us|us|us|us10004ar8|mb|4.8|us|59km WNW of Cotacachi, Ecuador
nc72572350|2016-01-01 17:15:13.730|36.5605|-121.1576667|7.21|nc|nc|nc|nc72572350|md|1.32|nc|21km NE of Soledad, California
nc72572345|2016-01-01 17:05:08.080|37.7215|-121.9778333|8.79|nc|nc|nc|nc72572345|md|1.24|nc|4km WNW of Dublin, California
pr16001005|2016-01-01 16:57:49.300|18.2663|-68.6453|144|pr|pr|pr|pr16001005|Md|3.5|pr|12km SSW of Boca de Yuma, Dominican Republic
ak12377834|2016-01-01 16:56:15.000|61.7551|-149.6361|41.4|ak|ak|ak|ak12377834|ml|1.8|ak|14km N of Meadow Lakes, Alaska
nc72572340|2016-01-01 16:53:56.700|40.0351667|-123.7668333|16.88|nc|nc|nc|nc72572340|md|1.44|nc|10km SSE of Redway, California
nc72572335|2016-01-01 16:51:38.020|38.8216667|-122.845|2.26|nc|nc|nc|nc72572335|md|1.24|nc|9km WNW of The Geysers, California
nn00524975|2016-01-01 16:46:50.805|38.0467|-118.9536|15|nn|nn|nn|nn00524975|ml|1|nn|33km SE of Bridgeport, California
ci37509424|2016-01-01 16:42:52.220|36.1486667|-117.987|-0.48|ci|ci|ci|ci37509424|ml|1.09|ci|12km NNW of Coso Junction, California
pr16001003|2016-01-01 16:42:22.600|18.7698|-64.6904|37|pr|pr|pr|pr16001003|Md|2.5|pr|39km N of Road Town, British Virgin Islands
ci37509416|2016-01-01 16:33:36.850|33.4046667|-116.2821667|1.19|ci|ci|ci|ci37509416|ml|1.73|ci|18km WSW of Oasis, California
ak12376930|2016-01-01 16:23:12.000|63.3758|-145.6476|4|ak|ak|ak|ak12376930|ml|1.6|ak|59km SSW of Deltana, Alaska
nn00524973|2016-01-01 15:41:01.349|36.9674|-118.2501|9.9|nn|nn|nn|nn00524973|ml|1.2|nn|22km S of Big Pine, California
mb80118294|2016-01-01 15:21:41.410|46.0146667|-111.4145|5.77|mb|mb|mb|mb80118294|md|0.84|mb|17km NE of Three Forks, Montana
nc72572320|2016-01-01 15:05:36.040|38.8434982|-122.8278351|1.1|nc|nc|nc|nc72572320|md|1.02|nc|9km WNW of Cobb, California
us10004aqy|2016-01-01 15:02:16.740|-28.6278|-177.281|34|us|us|us|us10004aqy|mww|5.8|us|93km NE of Raoul Island, New Zealand
ak12376010|2016-01-01 14:59:47.000|64.5682|-149.3744|28.2|ak|ak|ak|ak12376010|ml|0.6|ak|12km W of North Nenana, Alaska
ci37509400|2016-01-01 14:46:22.120|33.4075|-116.2826667|0.33|ci|ci|ci|ci37509400|ml|0.87|ci|18km WSW of Oasis, California
ak12375995|2016-01-01 14:45:31.000|63.8276|-149.1644|13.2|ak|ak|ak|ak12375995|ml|0.8|ak|10km WSW of Healy, Alaska
nn00524968|2016-01-01 14:37:41.579|37.2493|-116.0122|6.1|nn|nn|nn|nn00524968|ml|0.8|nn|76km W of Alamo, Nevada
ci37509392|2016-01-01 14:30:18.750|33.4871667|-116.492|13.28|ci|ci|ci|ci37509392|ml|0.51|ci|18km ESE of Anza, California
mb80118484|2016-01-01 14:27:34.810|45.4135|-112.3381667|8.01|mb|mb|mb|mb80118484|ml|0.92|mb|32km NE of Dillon, Montana
ak12375108|2016-01-01 14:16:58.000|61.266|-139.6482|6.7|ak|ak|ak|ak12375108|ml|1.8|ak|129km WNW of Haines Junction, Canada
nn00524972|2016-01-01 14:12:20.569|38.5115|-118.4139|4.7|nn|nn|nn|nn00524972|ml|0.3|nn|18km E of Hawthorne, Nevada
ak12375104|2016-01-01 14:06:45.000|61.2167|-151.2407|65.8|ak|ak|ak|ak12375104|ml|1.7|ak|58km N of Nikiski, Alaska
ak12374215|2016-01-01 13:41:40.000|64.4083|-147.4556|9.9|ak|ak|ak|ak12374215|ml|1.1|ak|29km WSW of Salcha, Alaska
nc72572310|2016-01-01 13:40:30.650|39.2683333|-123.2296667|6.07|nc|nc|nc|nc72572310|md|2.58|nc|2km W of Redwood Valley, California
mb80118284|2016-01-01 13:36:54.990|46.009|-111.41|5|mb|mb|mb|mb80118284|ml|1.64|mb|17km NE of Three Forks, Montana
mb80118279|2016-01-01 13:35:52.510|46.0125|-111.4285|0.82|mb|mb|mb|mb80118279|ml|1.22|mb|16km NE of Three Forks, Montana
mb80118489|2016-01-01 13:30:00.900|46.0195|-111.4258333|4.02|mb|mb|mb|mb80118489|ml|0.93|mb|17km NE of Three Forks, Montana
nc72572305|2016-01-01 13:27:32.160|38.7535|-122.73|0.57|nc|nc|nc|nc72572305|md|0.63|nc|3km SE of The Geysers, California
mb80118274|2016-01-01 13:26:38.020|46.0185|-111.4226667|3.95|mb|mb|mb|mb80118274|ml|2.62|mb|17km NE of Three Forks, Montana
ak12374203|2016-01-01 13:22:05.000|62.1428|-149.1795|13.5|ak|ak|ak|ak12374203|ml|2.2|ak|35km E of Y, Alaska
ak12374194|2016-01-01 13:01:12.000|64.665|-149.1393|12.2|ak|ak|ak|ak12374194|ml|0.2|ak|9km N of North Nenana, Alaska
ak12374189|2016-01-01 12:54:50.000|62.1232|-145.5684|18.4|ak|ak|ak|ak12374189|ml|1.6|ak|1km NW of Glennallen, Alaska
nc72572300|2016-01-01 12:37:59.110|38.8428345|-122.8311691|2.15|nc|nc|nc|nc72572300|md|1.06|nc|9km WNW of Cobb, California
us10004bn3|2016-01-01 12:36:14.000|52.3386|-169.407|19.2|ak|us|us|us10004bn3|ml|2.5|ak|76km SSW of Nikolski, Alaska
ak12439408|2016-01-01 12:35:06.000|62.0317|-151.0362|64.7|ak|ak|ak|ak12439408|ml|1.4|ak|58km WSW of Talkeetna, Alaska
ci37509384|2016-01-01 12:34:20.100|33.6006667|-116.8126667|8.4|ci|ci|ci|ci37509384|ml|0.26|ci|14km WNW of Anza, California
nn00524962|2016-01-01 12:33:44.686|38.4922|-118.4355|8.3|nn|nn|nn|nn00524962|ml|-0.3|nn|16km ESE of Hawthorne, Nevada
nc72572295|2016-01-01 12:31:23.140|35.7275|-121.5425|6.09|nc|nc|nc|nc72572295|md|1.71|nc|33km WNW of San Simeon, California
us10004aqn|2016-01-01 12:25:51.710|37.1305|-97.6595|5.86|ismp|us|us|us10004aqn|ml|2.1|ismp|11km NNW of Caldwell, Kansas
nn00524959|2016-01-01 12:23:14.950|37.4539|-115.9603|5.8|nn|nn|nn|nn00524959|ml|1|nn|71km W of Alamo, Nevada
ak12373308|2016-01-01 12:12:27.000|64.4145|-147.4487|8.6|ak|ak|ak|ak12373308|ml|0.5|ak|28km WSW of Salcha, Alaska
us10004dd7|2016-01-01 12:06:37.230|-5.0355|154.5541|35|us|us|us|us10004dd7|mb|4.3|us|169km NW of Arawa, Papua New Guinea
nn00524963|2016-01-01 12:04:33.381|37.4518|-115.9837|0|nn|nn|nn|nn00524963|ml|0.3|nn|73km W of Alamo, Nevada
us10004aqg|2016-01-01 11:39:39.800|35.6688|-97.4065|5.825|tul|us|us|us10004aqg|mwr|4.2|us|6km ENE of Edmond, Oklahoma
nn00524961|2016-01-01 11:38:31.290|39.5965|-119.8265|2|nn|nn|nn|nn00524961|ml|-0.2|nn|2km S of Golden Valley, Nevada
ak12373299|2016-01-01 11:35:44.000|64.6764|-148.2594|9.1|ak|ak|ak|ak12373299|ml|0|ak|22km SSW of Ester, Alaska
mb80118254|2016-01-01 11:25:55.950|46.0178333|-111.4281667|1.2|mb|mb|mb|mb80118254|ml|1.38|mb|16km NE of Three Forks, Montana
us10004aqc|2016-01-01 11:25:04.500|36.8042|-97.8514|5.454|tul|us|us|us10004aqc|ml|3|tul|10km W of Medford, Oklahoma
mb80118499|2016-01-01 11:19:16.150|46.0143333|-111.4133333|5.91|mb|mb|mb|mb80118499|md|0.45|mb|17km NE of Three Forks, Montana
us10004aqb|2016-01-01 11:16:49.860|36.5007|70.6274|202.74|us|us|us|us10004aqb|mb|4.5|us|44km SSW of Jarm, Afghanistan
ak12439405|2016-01-01 11:11:59.000|66.0571|-141.5472|30.4|ak|ak|ak|ak12439405|ml|1.3|ak|117km ENE of Circle, Alaska
ci37509376|2016-01-01 11:03:07.390|33.5275|-116.73|2.7|ci|ci|ci|ci37509376|ml|0.24|ci|6km WSW of Anza, California
nc72572290|2016-01-01 11:00:21.840|38.824501|-122.8460007|1.95|nc|nc|nc|nc72572290|md|0.62|nc|9km NW of The Geysers, California
ci37509368|2016-01-01 10:57:13.630|32.9068333|-116.3041667|9.37|ci|ci|ci|ci37509368|ml|1.05|ci|23km ENE of Pine Valley, California
nc72572285|2016-01-01 10:54:25.460|38.7773333|-122.7555|0.95|nc|nc|nc|nc72572285|md|1.44|nc|0km E of The Geysers, California
nn00524951|2016-01-01 10:47:47.737|38.5178|-118.4062|7.1|nn|nn|nn|nn00524951|ml|0.1|nn|19km E of Hawthorne, Nevada
nc72572280|2016-01-01 10:47:32.160|38.8381653|-122.8290024|2.14|nc|nc|nc|nc72572280|md|0.32|nc|9km W of Cobb, California
nn00524960|2016-01-01 10:42:37.825|37.1662|-117.5575|10|nn|nn|nn|nn00524960|ml|0.5|nn|65km E of Big Pine, California
us10004aq7|2016-01-01 10:28:52.940|-34.3384|-72.3718|19.64|us|us|us|us10004aq7|mb|4.4|us|97km WNW of Santa Cruz, Chile
us10004aq6|2016-01-01 10:27:53.510|38.8837|72.5535|10|us|us|us|us10004aq6|mb|4.5|us|88km W of Karakul, Tajikistan
ci37509360|2016-01-01 10:14:34.770|35.4845|-118.2901667|2.39|ci|ci|ci|ci37509360|ml|1.18|ci|22km ESE of Bodfish, California
nc72572275|2016-01-01 10:13:31.300|40.0331667|-123.7636667|15.33|nc|nc|nc|nc72572275|md|1.87|nc|10km SSE of Redway, California
ak12372425|2016-01-01 10:12:02.000|62.9398|-151.1931|126.6|ak|ak|ak|ak12372425|ml|1.7|ak|88km NW of Talkeetna, Alaska
nc72572270|2016-01-01 10:06:35.240|38.8245|-122.829|7.68|nc|nc|nc|nc72572270|md|0.09|nc|8km NW of The Geysers, California
ak12372424|2016-01-01 10:05:15.000|64.5695|-149.1873|15.5|ak|ak|ak|ak12372424|ml|0.5|ak|3km WSW of North Nenana, Alaska
ak12439402|2016-01-01 09:50:19.000|67.0266|-165.8809|28.7|ak|ak|ak|ak12439402|ml|2.1|ak|86km N of Shishmaref, Alaska
mb80118249|2016-01-01 09:44:05.680|46.0143333|-111.405|10.11|mb|mb|mb|mb80118249|ml|0.97|mb|17km NE of Three Forks, Montana
nm60099522|2016-01-01 09:41:38.620|36.1773333|-89.457|10.02|nm|nm|nm|nm60099522|md|1.24|nm|9km SSE of Ridgely, Tennessee
nc72572265|2016-01-01 09:30:02.330|38.8191681|-122.8193359|1.93|nc|nc|nc|nc72572265|md|0.56|nc|7km NW of The Geysers, California
ak12439401|2016-01-01 09:29:25.000|57.1004|-154.3528|57.7|ak|ak|ak|ak12439401|ml|2.4|ak|53km SSW of Larsen Bay, Alaska
mb80118244|2016-01-01 09:28:49.520|46.0113333|-111.407|7.97|mb|mb|mb|mb80118244|ml|1|mb|17km NE of Three Forks, Montana
ak12372422|2016-01-01 09:21:18.000|59.5238|-152.8044|74.8|ak|ak|ak|ak12372422|ml|1.7|ak|61km WSW of Anchor Point, Alaska
pr16001002|2016-01-01 09:18:26.300|18.7287|-65.097|20|pr|pr|pr|pr16001002|Md|2.6|pr|46km NNW of Charlotte Amalie, U.S. Virgin Islands
us10004apy|2016-01-01 09:15:27.500|35.6661|-97.4027|6.088|tul|us|us|us10004apy|ml|2.5|tul|6km ENE of Edmond, Oklahoma
us10004apx|2016-01-01 09:11:15.930|40.0709|30.5545|10|us|us|us|us10004apx|mb|4.1|us|5km NE of Saricakaya, Turkey
us10004apw|2016-01-01 09:09:25.060|37.9288|72.5048|15.18|us|us|us|us10004apw|mb|4.5|us|94km ENE of Shughnon, Tajikistan
nn00524950|2016-01-01 09:06:53.500|41.8837|-119.6129|4.7|nn|nn|nn|nn00524950|ml|1.1|nn|69km ESE of Lakeview, Oregon
nn00524949|2016-01-01 09:02:37.003|41.8648|-119.6128|6.1|nn|nn|nn|nn00524949|ml|1.7|nn|70km ESE of Lakeview, Oregon
us10004apt|2016-01-01 08:46:58.690|33.0632|141.5632|10|us|us|us|us10004apt|mb|4.6|us|164km E of Hachijo-jima, Japan
ci37509352|2016-01-01 08:44:51.650|33.9361667|-116.3543333|6.77|ci|ci|ci|ci37509352|ml|0.7|ci|13km NNE of Thousand Palms, California
nn00524948|2016-01-01 08:42:59.919|41.8655|-119.6142|10|nn|nn|nn|nn00524948|ml|2.3|nn|70km ESE of Lakeview, Oregon
pr16001001|2016-01-01 08:41:23.400|19.2789|-68.1104|24|pr|pr|pr|pr16001001|Md|2.6|pr|83km NNE of Punta Cana, Dominican Republic
nn00524955|2016-01-01 08:38:14.433|41.879|-119.6173|7.4|nn|nn|nn|nn00524955|ml|1.4|nn|69km ESE of Lakeview, Oregon
nn00524947|2016-01-01 08:37:24.234|41.8554|-119.6158|8.6|nn|nn|nn|nn00524947|ml|1.9|nn|70km ESE of Lakeview, Oregon
nc72572260|2016-01-01 08:36:16.950|38.7846667|-122.7746667|3.44|nc|nc|nc|nc72572260|md|1.41|nc|1km WNW of The Geysers, California
ak12371550|2016-01-01 08:22:50.000|63.489|-149.6603|3.2|ak|ak|ak|ak12371550|ml|0.8|ak|37km WNW of Cantwell, Alaska
se60099517|2016-01-01 07:59:08.700|35.872|-84.4383333|11.6|se|se|se|se60099517|md|2.27|se|6km E of Kingston, Tennessee
nn00524946|2016-01-01 07:55:57.567|38.5095|-118.4107|4.8|nn|nn|nn|nn00524946|ml|0|nn|18km E of Hawthorne, Nevada
nc72572250|2016-01-01 07:49:39.600|38.7095|-122.7763333|6.09|nc|nc|nc|nc72572250|md|1.1|nc|7km SSW of The Geysers, California
nc72572245|2016-01-01 07:48:43.900|38.8483315|-122.793335|1.41|nc|nc|nc|nc72572245|md|0.76|nc|6km WNW of Cobb, California
ak12371549|2016-01-01 07:45:46.000|51.6314|-179.0813|89|ak|ak|ak|ak12371549|ml|2.5|ak|41km N of Amatignak Island, Alaska
ak12439397|2016-01-01 07:39:39.000|63.229|-150.4795|110.9|ak|ak|ak|ak12439397|ml|1.4|ak|78km WSW of Cantwell, Alaska
ak12371546|2016-01-01 07:23:08.000|62.046|-145.0035|10|ak|ak|ak|ak12371546|ml|1.5|ak|29km ESE of Glennallen, Alaska
mb80118239|2016-01-01 07:22:42.640|46.791|-112.0085|5|mb|mb|mb|mb80118239|md|1.01|mb|8km NNE of Helena Valley Northwest, Montana
ci37509344|2016-01-01 07:22:23.360|34.1896667|-117.4011667|7.57|ci|ci|ci|ci37509344|ml|0.37|ci|4km S of Devore, California
ci37509336|2016-01-01 07:15:54.930|34.0181667|-117.576|8.11|ci|ci|ci|ci37509336|ml|0.96|ci|6km SE of Ontario, California
nc72572240|2016-01-01 07:11:46.830|37.6131667|-118.8671667|0.77|nc|nc|nc|nc72572240|md|0.45|nc|10km ESE of Mammoth Lakes, California
ci37509328|2016-01-01 07:11:39.620|32.6121667|-115.7065|8.33|ci|ci|ci|ci37509328|ml|1.25|ci|12km WNW of Progreso, B.C., MX
hv61139821|2016-01-01 07:09:05.410|19.3808333|-155.235|2.749|hv|hv|hv|hv61139821|ml|2.05|hv|5km S of Volcano, Hawaii
us10004apm|2016-01-01 06:57:19.500|35.6721|-97.4084|5.779|tul|us|us|us10004apm|ml|2.5|tul|6km ENE of Edmond, Oklahoma
nn00524945|2016-01-01 06:55:29.371|36.9821|-117.9863|14.8|nn|nn|nn|nn00524945|ml|0.7|nn|33km SE of Big Pine, California
ci37509320|2016-01-01 06:48:33.100|32.6141667|-115.7006667|10.18|ci|ci|ci|ci37509320|ml|1.54|ci|12km WNW of Progreso, B.C., MX
ci37509312|2016-01-01 06:46:13.380|36.4678333|-117.6291667|1.97|ci|ci|ci|ci37509312|ml|1.91|ci|40km ENE of Olancha, California
nc72572230|2016-01-01 06:45:57.330|38.8074989|-122.7928314|0.24|nc|nc|nc|nc72572230|md|0.96|nc|4km NW of The Geysers, California
nc72572235|2016-01-01 06:43:35.390|37.6153333|-118.8615|0.81|nc|nc|nc|nc72572235|md|0.32|nc|10km ESE of Mammoth Lakes, California
mb80118504|2016-01-01 06:42:15.160|46.0103333|-111.4106667|5.88|mb|mb|mb|mb80118504|md|0.45|mb|17km NE of Three Forks, Montana
nn00524943|2016-01-01 06:38:27.504|41.8455|-119.6356|9.4|nn|nn|nn|nn00524943|ml|1.7|nn|70km ESE of Lakeview, Oregon
